,rest_name,locality,rating,cuisines,cost_for_two,votes
0,The Black Chimney                                     ,Thaltej,3.7,"['North Indian', 'Chinese', 'Fast Food']",550,747
1,Jay Bhavani Vadapav                                     ,Satellite,3.8,"['Fast Food', 'Street Food', 'Beverages']",300,1024
2,McDonald's                                     ,"Safal Pegasus, Prahlad Nagar",4.1,"['Burger', 'Fast Food']",500,879
3,Shree Annpurna                                     ,Mani Nagar,4.2,"['North Indian', 'South Indian', 'Chinese', 'Street Food']",500,2062
4,Eat Punjab                                     ,Chandkheda,3.7,"['North Indian', 'Chinese', 'Fast Food']",750,1519
5,Shakti - The Sandwich Shop                                     ,"Aryan Work Spaces, Gulbai tekra",4.1,"['Sandwich', 'Fast Food', 'Beverages']",500,935
6,Anjoy Latenight Meals                                     ,Vastrapur,4.2,"['North Indian', 'Fast Food']",500,1450
7,Swati Snacks                                     ,Ellis Bridge,4.8,"['Fast Food', 'Street Food', 'South Indian']",600,1628
8,Jassi De Parathe                                     ,Vastrapur,4.4,['North Indian'],750,1907
9,Gwalia Sweets                                     ,"Venus Atlantis, Prahlad Nagar",4.1,"['Fast Food', 'Street Food', 'North Indian', 'Chinese', 'Mithai']",450,696
10,I Love Sandwich House                                     ,Bodakdev,4.1,"['Cafe', 'Sandwich']",900,1391
11,Sam's Pizza                                     ,Navrangpura,3.9,"['Pizza', 'Fast Food']",600,769
12,Burger King                                     ,Gurukul,4,"['Burger', 'Fast Food', 'Beverages']",500,1044
13,Domino's Pizza                                     ,Isanpur,3.8,"['Pizza', 'Fast Food']",600,1409
14,Magic Chicken                                     ,Sarkhej,4.5,"['Arabian', 'Roast Chicken']",600,1449
15,La Pino'z Pizza                                     ,Bodakdev,4.5,"['Pizza', 'Fast Food']",800,2687
16,Radhika's Authentic South Indian Food                                     ,Gurukul,4.2,['South Indian'],400,938
17,We Desi                                     ,"Venus Atlantis, Prahlad Nagar",4,"['Mexican', 'North Indian', 'Italian', 'Asian']",900,1236
18,Mocha                                     ,Bodakdev,4.9,"['Cafe', 'Italian', 'North Indian']","1,200",2955
19,Honest                                     ,Prahlad Nagar,4,"['North Indian', 'South Indian', 'Fast Food', 'Chinese']",700,1173
20,Food On Way                                     ,Satellite,3.8,"['North Indian', 'Chinese', 'Fast Food']",400,2944
21,Daawat-E-Khaas                                     ,Navrangpura,4.3,"['North Indian', 'Mughlai', 'Seafood', 'Biryani']","1,000",705
22,Jugaad Nights                                     ,Navrangpura,4.2,"['North Indian', 'Fast Food', 'Chinese']",500,1934
23,Punjabi By Heart                                     ,Vastrapur,3.1,['North Indian'],750,682
24,The Blue Oven                                     ,Vastrapur,4.3,"['Pizza', 'Italian', 'Continental', 'Beverages']",700,924
25,Ph Se Food                                     ,Bodakdev,4.6,"['North Indian', 'Chinese', 'Fast Food']",900,2262
26,650 - The Global Kitchen                                     ,Ambavadi,4.4,"['North Indian', 'Italian', 'Continental']","1,200",2223
27,Burgometry                                     ,Navrangpura,4,"['Fast Food', 'Beverages']",300,909
28,Fozzie's Pizzaiolo. Cafe. Deli                                     ,Bodakdev,4.2,"['Cafe', 'Italian', 'Mexican', 'Desserts']",900,1862
29,Wok On Fire                                     ,Navrangpura,4.1,"['Chinese', 'Thai', 'Asian']","1,200",1433
30,Buttercupp                                     ,Vastrapur,4.9,"['Desserts', 'Bakery']",300,1573
31,Standard's Punjabi Khana                                     ,Satellite,3.6,"['North Indian', 'Chinese', 'Gujarati']",450,1298
32,The Shake Maker                                     ,C G Road,4.3,"['Beverages', 'Fast Food', 'Desserts']",400,731
33,Bikanervala                                     ,Satellite,3.9,"['Street Food', 'North Indian', 'Chinese', 'Mithai', 'South Indian']",600,694
34,City Corner                                     ,Mani Nagar,4.2,"['Fast Food', 'Chinese', 'North Indian', 'South Indian', 'Beverages']",700,921
35,1944 Restaurant By Havmor                                     ,Bodakdev,4.2,"['North Indian', 'Continental', 'Desserts']","1,000",1150
36,Cafe De Italiano                                     ,Bodakdev,4.3,"['Cafe', 'Italian', 'Desserts']",950,1007
37,Puffizza                                     ,Gurukul,4.3,"['Pizza', 'Fast Food']",700,1379
38,RP's Pizzeria                                     ,Navrangpura,4.4,"['Pizza', 'Continental', 'Italian', 'Fast Food', 'Beverages']",550,1854
39,Cafe Upper Crust                                     ,Navrangpura,4.3,"['Continental', 'Asian', 'North Indian']","1,000",1109
40,Pleasure Trove                                     ,Ashram Road,4.1,"['North Indian', 'Mughlai', 'Chinese']","1,000",1229
41,9834 The Fruit Truck                                     ,Satellite,4.4,"['Juices', 'Beverages', 'Healthy Food', 'Desserts']",500,717
42,Prithvi Hotel                                     ,Mani Nagar,3.5,"['North Indian', 'Chinese', 'Italian']",700,652
43,Nini's Kitchen                                     ,Prahlad Nagar,4.5,"['North Indian', 'Italian', 'Fast Food']","1,000",1973
44,Dilliwale                                     ,Vastrapur,4.1,"['North Indian', 'Street Food']",600,852
45,Toritos                                     ,Ambavadi,4.1,"['Italian', 'Mexican', 'Continental']","1,000",860
46,Brick Kitchen - Five Petals                                     ,Ghatlodia,4.4,"['North Indian', 'Chinese', 'Continental']",900,1691
47,The Esplendido Cafe                                     ,Navrangpura,4.5,"['Cafe', 'American', 'Italian', 'Chinese', 'North Indian']",800,2342
